"Title",Rate,"Category",Year
"Legend of the Guardians: The Owls of Ga'Hoole",6.9,"Animation, Action, Adventure",2010
"Free State of Jones",6.9,"Action, Biography, Drama",2016
"The Book of Eli",6.9,"Action, Adventure, Drama",2010
"The Amazing Spider-Man",6.9,"Action, Adventure, Sci-Fi",2012
"Pineapple Express",6.9,"Action, Comedy, Crime",2008
"Ocean's Thirteen",6.9,"Action, Crime, Thriller",2007
"Crank",6.9,"Action, Crime, Thriller",2006
"Alan Partridge: Alpha Papa",6.9,"Action, Comedy, Crime",2013
"Captain America: The First Avenger",6.9,"Action, Adventure, Sci-Fi",2011
"Harsh Times",6.9,"Action, Crime, Drama",2005
