"Title",Rate,"Category",Year
"Caché",7.3,"Drama, Mystery, Thriller",2005
"Layer Cake",7.3,"Action, Crime, Drama",2004
"Monster",7.3,"Biography, Crime, Drama",2003
"Matchstick Men",7.3,"Comedy, Crime, Drama",2003
"Identity",7.3,"Mystery, Thriller",2003
"Dirty Pretty Things",7.3,"Crime, Drama, Thriller",2002
"The Phantom of the Opera",7.3,"Drama, Musical, Romance",2004
"Before the Devil Knows You're Dead",7.3,"Crime, Drama, Thriller",2007
"Punch-Drunk Love",7.3,"Comedy, Drama, Romance",2002
"Unbreakable",7.3,"Drama, Mystery, Sci-Fi",2000
"Sexy Beast",7.3,"Crime, Drama, Thriller",2000
"Frequency",7.3,"Crime, Drama, Mystery",2000
"Thirteen Days",7.3,"Drama, History, Thriller",2000
"Ronin",7.3,"Action, Crime, Thriller",1998
"The Negotiator",7.3,"Action, Crime, Drama",1998
"Enemy of the State",7.3,"Action, Thriller",1998
"Grosse Pointe Blank",7.3,"Action, Comedy, Crime",1997
"Face/Off",7.3,"Action, Crime, Sci-Fi",1997
"Bound",7.3,"Crime, Romance, Thriller",1996
"Murder in the First",7.3,"Drama, Thriller",1995
"Crimson Tide",7.3,"Action, Drama, Thriller",1995
"Shallow Grave",7.3,"Crime, Thriller",1994
"Heavenly Creatures",7.3,"Biography, Crime, Drama",1994
"Twin Peaks: Fire Walk with Me",7.3,"Drama, Horror, Mystery",1992
"Point Break",7.3,"Action, Crime, Thriller",1991
"Cape Fear",7.3,"Crime, Thriller",1991
"Nikita",7.3,"Action, Thriller",1990
"They Live",7.3,"Action, Horror, Sci-Fi",1988
"Dead Ringers",7.3,"Drama, Horror, Thriller",1988
"Angel Heart",7.3,"Horror, Mystery, Thriller",1987
"To Live and Die in L.A.",7.3,"Action, Crime, Drama",1985
"Clue",7.3,"Comedy, Crime, Mystery",1985
"Beverly Hills Cop",7.3,"Action, Comedy, Crime",1984
"Poltergeist",7.3,"Horror, Thriller",1982
"Mean Streets",7.3,"Crime, Drama, Thriller",1973
"Meng long guo jiang",7.3,"Action, Adventure, Crime",1972
"The Italian Job",7.3,"Action, Comedy, Crime",1969
"The Post",7.2,"Biography, Drama, History",2017
"Anthropoid",7.2,"Action, Biography, Drama",2016
"The Siege of Jadotville",7.2,"Action, Drama, History",2016
"The Lobster",7.2,"Comedy, Drama, Romance",2015
"Coherence",7.2,"Drama, Horror, Mystery",2013
"'71",7.2,"Action, Crime, Drama",2014
"Talaash",7.2,"Crime, Drama, Mystery",2012
"Mientras duermes",7.2,"Drama, Horror, Thriller",2011
"The Hunger Games",7.2,"Action, Adventure, Sci-Fi",2012
"Harry Brown",7.2,"Action, Crime, Drama",2009
"Flickan som lekte med elden",7.2,"Crime, Drama, Mystery",2009
"10 Cloverfield Lane",7.2,"Drama, Horror, Mystery",2016
"The Ghost Writer",7.2,"Drama, Mystery, Thriller",2010
"Los abrazos rotos",7.2,"Drama, Romance, Thriller",2009
"Fracture",7.2,"Crime, Drama, Thriller",2007
"Los cronocrímenes",7.2,"Horror, Mystery, Sci-Fi",2007
"I Am Legend",7.2,"Action, Adventure, Drama",2007
"Michael Clayton",7.2,"Crime, Drama, Mystery",2007
"The Equalizer",7.2,"Action, Crime, Thriller",2014
"Sunshine",7.2,"Sci-Fi, Thriller",2007
"The Descent",7.2,"Adventure, Horror, Thriller",2005
"Banlieue 13",7.2,"Action, Crime, Sci-Fi",2004
"Fainaru fantajî sebun adobento chirudoren",7.2,"Animation, Action, Adventure",2005
"Ong-bak",7.2,"Action, Crime, Thriller",2003
"Janghwa, Hongryeon",7.2,"Drama, Horror, Mystery",2003
