"Title",Rate,"Category",Year
"Session 9",6.4,"Horror, Mystery",2001
"High Crimes",6.4,"Crime, Drama, Mystery",2002
"The General's Daughter",6.4,"Crime, Drama, Mystery",1999
"Wes Craven's New Nightmare",6.4,"Fantasy, Horror, Mystery",1994
"The People Under the Stairs",6.4,"Comedy, Horror, Mystery",1991
"Star Trek: The Motion Picture",6.4,"Adventure, Mystery, Sci-Fi",1979
"Apostle",6.3,"Drama, Fantasy, Horror",2018
"1922",6.3,"Crime, Drama, Horror",2017
"Paper Towns",6.3,"Comedy, Drama, Mystery",2015
"The Loft",6.3,"Mystery, Romance, Thriller",2014
"While We're Young",6.3,"Comedy, Drama, Mystery",2014
"Secret in Their Eyes",6.3,"Crime, Drama, Mystery",2015
"Before I Go to Sleep",6.3,"Drama, Horror, Mystery",2014
"Chloe",6.3,"Drama, Mystery, Romance",2009
"Paranormal Activity",6.3,"Horror, Mystery, Thriller",2007
"All Good Things",6.3,"Crime, Drama, Mystery",2010
"The Uninvited",6.3,"Drama, Horror, Mystery",2009
"The Nines",6.3,"Drama, Fantasy, Mystery",2007
"Hail, Caesar!",6.3,"Comedy, Drama, Music",2016
"Flightplan",6.3,"Drama, Mystery, Thriller",2005
"Taking Lives",6.3,"Crime, Mystery, Thriller",2004
"Paycheck",6.3,"Action, Mystery, Sci-Fi",2003
"Don't Say a Word",6.3,"Drama, Mystery, Thriller",2001
"The Dead Pool",6.3,"Action, Crime, Mystery",1988
"Happy Death Day 2U",6.2,"Comedy, Horror, Mystery",2019
"In the Shadow of the Moon",6.2,"Crime, Mystery, Sci-Fi",2019
"It Comes at Night",6.2,"Horror, Mystery",2017
"Scary Stories to Tell in the Dark",6.2,"Adventure, Horror, Mystery",2019
"As Above, So Below",6.2,"Horror, Mystery, Thriller",2014
"Dark Places",6.2,"Action, Drama, Mystery",2015
"Open Grave",6.2,"Horror, Mystery, Thriller",2013
"Winter's Tale",6.2,"Drama, Fantasy, Mystery",2014
"Red Lights",6.2,"Drama, Fantasy, Horror",2012
"Devil",6.2,"Horror, Mystery, Thriller",2010
"Seeking Justice",6.2,"Action, Crime, Drama",2011
"Lions for Lambs",6.2,"Crime, Drama, Mystery",2007
"Untraceable",6.2,"Crime, Mystery, Thriller",2008
"Case 39",6.2,"Horror, Mystery, Thriller",2009
"Saw III",6.2,"Horror, Mystery, Thriller",2006
"Dead Silence",6.2,"Horror, Mystery, Thriller",2007
"Knowing",6.2,"Action, Drama, Mystery",2009
"The Invisible",6.2,"Crime, Drama, Fantasy",2007
"Solaris",6.2,"Drama, Mystery, Romance",2002
"Femme Fatale",6.2,"Crime, Drama, Mystery",2002
"Murder by Numbers",6.2,"Crime, Mystery, Thriller",2002
"Jeepers Creepers",6.2,"Horror, Mystery",2001
"The Hole",6.2,"Drama, Mystery, Thriller",2001
"Men in Black II",6.2,"Action, Adventure, Comedy",2002
"Scream 2",6.2,"Horror, Mystery",1997
"Rising Sun",6.2,"Action, Crime, Drama",1993
"Brightburn",6.1,"Drama, Horror, Mystery",2019
"Personal Shopper",6.1,"Drama, Mystery, Thriller",2016
"Ouija: Origin of Evil",6.1,"Drama, Horror, Mystery",2016
"Insidious: Chapter 3",6.1,"Horror, Mystery, Thriller",2015
"The Signal",6.1,"Drama, Mystery, Sci-Fi",2014
