"Title",Rate,"Category",Year
"Prince of Darkness",6.7,"Horror",1987
"Christine",6.7,"Horror, Thriller",1983
"It Chapter Two",6.6,"Drama, Fantasy, Horror",2019
"Mother!",6.6,"Drama, Horror, Mystery",2017
"The Girl with All the Gifts",6.6,"Drama, Horror, Sci-Fi",2016
"Overlord",6.6,"Action, Adventure, Horror",2018
"Gerald's Game",6.6,"Drama, Horror, Thriller",2017
"Bird Box",6.6,"Drama, Horror, Sci-Fi",2018
"Insidious: Chapter 2",6.6,"Horror, Mystery, Thriller",2013
"The Final Girls",6.6,"Comedy, Drama, Fantasy",2015
"The Loved Ones",6.6,"Horror, Thriller",2009
"Pontypool",6.6,"Fantasy, Horror, Thriller",2008
"Antichrist",6.6,"Drama, Horror",2009
"Saw II",6.6,"Horror, Mystery",2005
"30 Days of Night",6.6,"Action, Horror, Thriller",2007
"May",6.6,"Comedy, Drama, Horror",2002
"The Gift",6.6,"Drama, Fantasy, Horror",2000
"What Lies Beneath",6.6,"Drama, Fantasy, Horror",2000
"Death Becomes Her",6.6,"Comedy, Fantasy, Horror",1992
"Candyman",6.6,"Horror, Thriller",1992
"Flatliners",6.6,"Drama, Horror, Sci-Fi",1990
"Pet Sematary",6.6,"Horror, Thriller",1989
"Child's Play",6.6,"Horror, Thriller",1988
"A Nightmare on Elm Street 3: Dream Warriors",6.6,"Fantasy, Horror",1987
"Bad Taste",6.6,"Comedy, Horror, Sci-Fi",1987
"The Howling",6.6,"Horror",1981
"Happy Death Day",6.5,"Horror, Mystery, Thriller",2017
"Annabelle: Creation",6.5,"Horror, Mystery, Thriller",2017
"Time Lapse",6.5,"Horror, Sci-Fi, Thriller",2014
"Crimson Peak",6.5,"Drama, Fantasy, Horror",2015
"Oculus",6.5,"Horror, Mystery",2013
"Sightseers",6.5,"Adventure, Comedy, Crime",2012
"You're Next",6.5,"Horror, Mystery, Thriller",2011
"Byzantium",6.5,"Drama, Fantasy, Horror",2012
"Stake Land",6.5,"Drama, Horror, Sci-Fi",2010
"Evil Dead",6.5,"Fantasy, Horror, Thriller",2013
"[Rec]²",6.5,"Action, Adventure, Horror",2009
"Biohazard Regeneration",6.5,"Animation, Action, Horror",2008
"Drag Me to Hell",6.5,"Horror, Thriller",2009
"The Last House on the Left",6.5,"Horror, Thriller",2009
"Severance",6.5,"Comedy, Horror, Thriller",2006
"The Crazies",6.5,"Horror, Thriller",2010
"Tideland",6.5,"Drama, Fantasy, Horror",2005
"Dnevnoy dozor",6.5,"Action, Fantasy, Horror",2006
"The Skeleton Key",6.5,"Drama, Horror, Mystery",2005
"Silent Hill",6.5,"Horror",2006
"The Blair Witch Project",6.5,"Horror, Mystery",1999
"The Faculty",6.5,"Horror, Sci-Fi",1998
"The Prophecy",6.5,"Action, Crime, Drama",1995
"Alien³",6.5,"Action, Horror, Sci-Fi",1992
"Hellbound: Hellraiser II",6.5,"Horror, Thriller",1988
"The Blob",6.5,"Horror, Sci-Fi, Thriller",1988
"The Witches of Eastwick",6.5,"Comedy, Fantasy, Horror",1987
"Twilight Zone: The Movie",6.5,"Horror, Sci-Fi",1983
"Halloween II",6.5,"Horror",1981
"Friday the 13th",6.5,"Horror, Mystery, Thriller",1980
"Unsane",6.4,"Drama, Horror, Mystery",2018
"A Cure for Wellness",6.4,"Drama, Fantasy, Horror",2016
"Il racconto dei racconti - Tale of Tales",6.4,"Drama, Fantasy, Horror",2015
"The Purge: Anarchy",6.4,"Action, Horror, Sci-Fi",2014
"Alien: Covenant",6.4,"Horror, Sci-Fi, Thriller",2017
"Compliance",6.4,"Crime, Drama, Horror",2012
"Kill List",6.4,"Action, Crime, Drama",2011
"John Dies at the End",6.4,"Comedy, Fantasy, Horror",2012
"The Woman in Black",6.4,"Drama, Fantasy, Horror",2012
"The Voices",6.4,"Comedy, Crime, Horror",2014
"Underworld Awakening",6.4,"Action, Fantasy, Horror",2012
"Black Death",6.4,"Action, Drama, History",2010
"The House of the Devil",6.4,"Horror",2009
"Ils",6.4,"Horror, Thriller",2006
"The Hills Have Eyes",6.4,"Horror, Thriller",2006
"Slither",6.4,"Comedy, Horror, Sci-Fi",2006
"Daybreakers",6.4,"Action, Fantasy, Horror",2009
"Nochnoy dozor",6.4,"Action, Fantasy, Horror",2004
"Mindhunters",6.4,"Crime, Horror, Mystery",2004
"The Mothman Prophecies",6.4,"Drama, Horror, Mystery",2002
"Session 9",6.4,"Horror, Mystery",2001
